Date,Open,High,Low,Close,Change (Pips)
"Sep 29, 2022 00:00",93.927,94.037,93.125,93.857,-7.0
"Sep 28, 2022 00:00",93.062,94.037,92.126,94.035,+97.3
"Sep 27, 2022 00:00",93.416,93.961,92.911,93.184,-23.2
"Sep 26, 2022 00:00",93.582,94.026,93.148,93.414,-16.8
"Sep 23, 2022 00:00",94.459,94.713,93.381,93.568,-89.1
"Sep 22, 2022 00:00",95.406,96.408,93.562,94.585,-82.1
"Sep 21, 2022 00:00",96.06,96.26,95.431,95.551,-50.9
"Sep 20, 2022 00:00",96.292,96.541,95.888,96.103,-18.9
"Sep 19, 2022 00:00",95.929,96.359,95.717,96.329,+40.0
"Sep 16, 2022 00:00",96.061,96.429,95.548,96.026,-3.5
"Sep 15, 2022 00:00",96.578,97.13,96.094,96.144,-43.4
"Sep 14, 2022 00:00",97.222,97.602,95.981,96.589,-63.3
"Sep 13, 2022 00:00",98.377,98.636,97.196,97.274,-110.3
"Sep 12, 2022 00:00",97.074,98.394,97.028,98.39,+131.6
"Sep 09, 2022 00:00",97.211,97.911,97.067,97.641,+43.0
"Sep 08, 2022 00:00",97.267,97.496,96.64,97.288,+2.1
"Sep 07, 2022 00:00",96.113,97.398,95.998,97.289,+117.6
"Sep 06, 2022 00:00",95.477,96.515,95.477,96.174,+69.7
"Sep 05, 2022 00:00",95.011,95.605,94.997,95.505,+49.4
"Sep 02, 2022 00:00",95.096,96.041,94.992,95.452,+35.6
"Sep 01, 2022 00:00",94.975,95.371,94.762,95.186,+21.1
"Aug 31, 2022 00:00",95.061,95.566,94.892,95.08,+1.9
"Aug 30, 2022 00:00",95.664,96.203,94.976,95.118,-54.6
"Aug 29, 2022 00:00",94.684,95.927,94.648,95.71,+102.6
"Aug 26, 2022 00:00",95.247,95.769,94.621,94.749,-49.8
"Aug 25, 2022 00:00",94.561,95.436,94.549,95.268,+70.7
"Aug 24, 2022 00:00",94.714,94.794,94.196,94.74,+2.6
"Aug 23, 2022 00:00",94.459,94.853,94.099,94.748,+28.9
"Aug 22, 2022 00:00",93.953,94.839,93.927,94.561,+60.8
"Aug 19, 2022 00:00",93.922,94.554,93.83,94.081,+15.9
"Aug 18, 2022 00:00",93.542,94.186,93.37,93.967,+42.5
"Aug 17, 2022 00:00",94.159,94.38,93.55,93.7,-45.9
"Aug 16, 2022 00:00",93.562,94.47,93.074,94.275,+71.3
"Aug 15, 2022 00:00",94.89,95.085,93.063,93.607,-128.3
"Aug 12, 2022 00:00",94.459,95.151,94.382,95.068,+60.9
"Aug 11, 2022 00:00",94.029,94.599,93.849,94.501,+47.2
"Aug 10, 2022 00:00",94.086,94.298,93.471,94.097,+1.1
"Aug 09, 2022 00:00",94.081,94.394,93.897,94.09,+0.9
"Aug 08, 2022 00:00",93.244,94.431,93.161,94.305,+106.1
"Aug 05, 2022 00:00",92.532,93.622,92.243,93.276,+74.4
