Date,Open,High,Low,Close,Change (Pips)
"Sep 29, 2022 00:00",0.65216,0.65246,0.64357,0.64993,-22.3
"Sep 28, 2022 00:00",0.64272,0.65308,0.63629,0.65236,+96.4
"Sep 27, 2022 00:00",0.64536,0.65125,0.64138,0.64341,-19.5
"Sep 26, 2022 00:00",0.65154,0.65381,0.64377,0.64541,-61.3
"Sep 23, 2022 00:00",0.66349,0.66561,0.65115,0.65288,-106.1
"Sep 22, 2022 00:00",0.66257,0.66709,0.6574,0.66431,+17.4
"Sep 21, 2022 00:00",0.66831,0.67051,0.66215,0.66322,-50.9
"Sep 20, 2022 00:00",0.67261,0.67471,0.66763,0.66889,-37.2
"Sep 19, 2022 00:00",0.67132,0.6734,0.66722,0.67265,+13.3
"Sep 16, 2022 00:00",0.66958,0.67238,0.66696,0.67176,+21.8
"Sep 15, 2022 00:00",0.67486,0.67702,0.66962,0.67002,-48.4
"Sep 14, 2022 00:00",0.6732,0.676,0.67049,0.67466,+14.6
"Sep 13, 2022 00:00",0.68869,0.69158,0.67262,0.67305,-156.4
"Sep 12, 2022 00:00",0.68301,0.68996,0.68243,0.68885,+58.4
"Sep 09, 2022 00:00",0.67445,0.6877,0.67437,0.68457,+101.2
"Sep 08, 2022 00:00",0.67675,0.67737,0.67132,0.67508,-16.7
"Sep 07, 2022 00:00",0.67345,0.67693,0.66987,0.67676,+33.1
"Sep 06, 2022 00:00",0.67908,0.68321,0.67275,0.67355,-55.3
"Sep 05, 2022 00:00",0.67795,0.68036,0.67726,0.67946,+15.1
"Sep 02, 2022 00:00",0.6783,0.6855,0.67761,0.68072,+24.2
"Sep 01, 2022 00:00",0.68387,0.68455,0.67709,0.67889,-49.8
"Aug 31, 2022 00:00",0.68488,0.69041,0.68349,0.68428,-6.0
"Aug 30, 2022 00:00",0.68986,0.69559,0.68455,0.6853,-45.6
"Aug 29, 2022 00:00",0.68805,0.69256,0.68406,0.69009,+20.4
"Aug 26, 2022 00:00",0.69794,0.70086,0.6888,0.68903,-89.1
"Aug 25, 2022 00:00",0.69043,0.69913,0.68973,0.6981,+76.7
"Aug 24, 2022 00:00",0.69264,0.69309,0.68787,0.69084,-18.0
"Aug 23, 2022 00:00",0.68719,0.69631,0.68557,0.6928,+56.1
"Aug 22, 2022 00:00",0.68635,0.69288,0.68619,0.68763,+12.8
"Aug 19, 2022 00:00",0.69123,0.69197,0.68592,0.68732,-39.1
"Aug 18, 2022 00:00",0.69286,0.69698,0.68991,0.69153,-13.3
"Aug 17, 2022 00:00",0.70182,0.70263,0.69108,0.69368,-81.4
"Aug 16, 2022 00:00",0.70169,0.70399,0.69909,0.70229,+6.0
"Aug 15, 2022 00:00",0.7113,0.71249,0.70108,0.7022,-91.0
"Aug 12, 2022 00:00",0.7103,0.71285,0.70852,0.71223,+19.3
"Aug 11, 2022 00:00",0.70766,0.71366,0.70628,0.71061,+29.5
"Aug 10, 2022 00:00",0.69559,0.71087,0.69463,0.70811,+125.2
"Aug 09, 2022 00:00",0.69775,0.69942,0.69527,0.6962,-15.5
"Aug 08, 2022 00:00",0.69043,0.7009,0.68976,0.69836,+79.3
"Aug 05, 2022 00:00",0.69679,0.69747,0.68695,0.69106,-57.3
"Aug 04, 2022 00:00",0.69478,0.69898,0.69349,0.6968,+20.2
"Aug 03, 2022 00:00",0.69176,0.69553,0.6886,0.69491,+31.5
"Aug 02, 2022 00:00",0.70197,0.70323,0.69128,0.69183,-101.4
"Aug 01, 2022 00:00",0.69766,0.70471,0.69684,0.70254,+48.8
"Jul 29, 2022 00:00",0.69836,0.70317,0.69111,0.69931,+9.5
"Jul 28, 2022 00:00",0.69911,0.7014,0.69553,0.69894,-1.7
"Jul 27, 2022 00:00",0.69386,0.70121,0.69119,0.69934,+54.8
