Date,Open,High,Low,Close,Change (Pips)
"Sep 29, 2022 00:00",140.279,141.756,139.432,141.722,+144.3
"Sep 28, 2022 00:00",138.852,140.398,138.056,140.332,+148.0
"Sep 27, 2022 00:00",139.036,139.543,138.613,138.929,-10.7
"Sep 26, 2022 00:00",138.813,139.519,137.356,139.058,+24.5
"Sep 23, 2022 00:00",140.001,140.256,138.665,138.859,-114.2
"Sep 22, 2022 00:00",141.619,143.698,138.703,140.017,-160.2
"Sep 21, 2022 00:00",143.326,143.595,141.641,141.732,-159.4
"Sep 20, 2022 00:00",143.51,144.042,143.016,143.289,-22.1
"Sep 19, 2022 00:00",143.052,143.612,142.799,143.564,+51.2
"Sep 16, 2022 00:00",143.487,143.536,142.509,143.153,-33.4
"Sep 15, 2022 00:00",142.762,143.684,142.564,143.467,+70.5
"Sep 14, 2022 00:00",144.12,144.47,142.295,142.873,-124.7
"Sep 13, 2022 00:00",144.573,145.563,144.019,144.052,-52.1
"Sep 12, 2022 00:00",143.685,145.632,143.379,144.561,+87.6
"Sep 09, 2022 00:00",144.023,144.725,142.639,143.285,-73.8
"Sep 08, 2022 00:00",143.877,144.33,143.177,144.077,+20.0
"Sep 07, 2022 00:00",141.315,144.009,141.315,143.844,+252.9
"Sep 06, 2022 00:00",139.54,141.758,139.54,141.454,+191.4
"Sep 05, 2022 00:00",139.079,139.641,138.685,139.608,+52.9
"Sep 02, 2022 00:00",139.458,140.751,139.257,139.624,+16.6
"Sep 01, 2022 00:00",139.67,139.997,138.921,139.447,-22.3
"Aug 31, 2022 00:00",138.963,139.724,138.265,139.685,+72.2
"Aug 30, 2022 00:00",138.659,139.214,138.265,139.01,+35.1
"Aug 29, 2022 00:00",137.109,138.972,136.98,138.688,+157.9
"Aug 26, 2022 00:00",136.12,137.971,136.068,137.025,+90.5
"Aug 25, 2022 00:00",136.62,136.984,136.015,136.142,-47.8
"Aug 24, 2022 00:00",136.409,136.784,135.514,136.709,+30.0
"Aug 23, 2022 00:00",136.666,137.058,135.724,136.312,-35.4
"Aug 22, 2022 00:00",137.347,137.944,136.396,136.68,-66.7
"Aug 19, 2022 00:00",137.032,137.967,136.941,137.416,+38.4
"Aug 18, 2022 00:00",137.401,137.654,136.554,137.059,-34.2
"Aug 17, 2022 00:00",136.425,137.875,136.258,137.477,+105.2
"Aug 16, 2022 00:00",135.518,136.916,134.945,136.525,+100.7
"Aug 15, 2022 00:00",136.886,137.061,135.275,135.422,-146.4
"Aug 12, 2022 00:00",137.279,137.721,136.893,136.904,-37.5
"Aug 11, 2022 00:00",136.862,137.395,136.301,137.249,+38.7
"Aug 10, 2022 00:00",137.912,138.399,136.612,136.861,-105.1
"Aug 09, 2022 00:00",137.474,138.313,137.259,138.03,+55.6
"Aug 08, 2022 00:00",137.377,137.922,137.064,137.654,+27.7
"Aug 05, 2022 00:00",136.08,137.76,135.802,137.39,+131.0
"Aug 04, 2022 00:00",135.926,136.919,135.636,136.192,+26.6
"Aug 03, 2022 00:00",135.344,136.416,134.823,136.106,+76.2
"Aug 02, 2022 00:00",135.043,135.401,133.397,135.365,+32.2
"Aug 01, 2022 00:00",136.115,136.341,134.996,135.035,-108.0
"Jul 29, 2022 00:00",136.876,137.328,135.547,136.239,-63.7
"Jul 28, 2022 00:00",139.176,139.34,136.369,136.856,-232.0
"Jul 27, 2022 00:00",138.407,139.51,138.4,139.339,+93.2
"Jul 26, 2022 00:00",139.595,139.833,138.128,138.538,-105.7
"Jul 25, 2022 00:00",138.993,140.077,138.718,139.65,+65.7
"Jul 22, 2022 00:00",140.43,140.693,138.787,138.948,-148.2
"Jul 21, 2022 00:00",140.594,142.323,140.135,140.474,-12.0
"Jul 20, 2022 00:00",141.279,141.929,140.426,140.781,-49.8
"Jul 19, 2022 00:00",139.982,141.449,139.694,141.314,+133.2
"Jul 18, 2022 00:00",139.642,140.799,139.376,140.116,+47.4
"Jul 15, 2022 00:00",139.145,139.89,138.744,139.737,+59.2
"Jul 14, 2022 00:00",138.034,139.774,137.996,139.246,+121.2
"Jul 13, 2022 00:00",137.357,138.799,137.12,138.229,+87.2
"Jul 12, 2022 00:00",137.867,138.076,137.021,137.345,-52.2
"Jul 11, 2022 00:00",138.47,139.168,137.881,137.968,-50.2
"Jul 08, 2022 00:00",138.16,138.717,136.867,138.607,+44.7
"Jul 07, 2022 00:00",138.376,139.066,137.98,138.175,-20.1
"Jul 06, 2022 00:00",139.339,139.5,137.27,138.391,-94.8
