Date,Open,High,Low,Close,Change (Pips)
"Sep 29, 2022 00:00",0.97306,0.98147,0.96355,0.9813,+82.4
"Sep 28, 2022 00:00",0.95928,0.97508,0.95357,0.97361,+143.3
"Sep 27, 2022 00:00",0.96089,0.96709,0.95692,0.95932,-15.7
"Sep 26, 2022 00:00",0.96699,0.97097,0.95502,0.96082,-61.7
"Sep 23, 2022 00:00",0.98315,0.9852,0.96683,0.96887,-142.8
"Sep 22, 2022 00:00",0.98357,0.99073,0.98071,0.98338,-1.9
"Sep 21, 2022 00:00",0.99676,0.99753,0.98126,0.98368,-130.8
"Sep 20, 2022 00:00",1.0021,1.00508,0.99553,0.99698,-51.2
"Sep 19, 2022 00:00",1.00113,1.00292,0.99659,1.00249,+13.6
"Sep 16, 2022 00:00",0.99979,1.00365,0.99451,1.0013,+15.1
"Sep 15, 2022 00:00",0.99736,1.00179,0.99558,0.99963,+22.7
"Sep 14, 2022 00:00",0.99684,1.00236,0.99556,0.99794,+11.0
"Sep 13, 2022 00:00",1.01223,1.01873,0.99671,0.99673,-155.0
"Sep 12, 2022 00:00",1.00997,1.01975,1.00594,1.01214,+21.7
"Sep 09, 2022 00:00",0.9994,1.0113,0.9994,1.00458,+51.8
"Sep 08, 2022 00:00",1.00075,1.00295,0.99308,0.99985,-9.0
"Sep 07, 2022 00:00",0.99035,1.00108,0.98752,1.00062,+102.7
"Sep 06, 2022 00:00",0.99248,0.99863,0.98639,0.99066,-18.2
"Sep 05, 2022 00:00",0.99249,0.99442,0.98778,0.99314,+6.5
"Sep 02, 2022 00:00",0.99435,1.00334,0.99412,0.99572,+13.7
"Sep 01, 2022 00:00",1.00511,1.00543,0.99108,0.99456,-105.5
"Aug 31, 2022 00:00",1.00135,1.00791,0.99713,1.00524,+38.9
"Aug 30, 2022 00:00",0.99932,1.00545,0.99818,1.00145,+21.3
"Aug 29, 2022 00:00",0.99626,1.00292,0.99144,0.99978,+35.2
"Aug 26, 2022 00:00",0.99731,1.009,0.99466,0.99651,-8.0
"Aug 25, 2022 00:00",0.99645,1.00332,0.99489,0.99737,+9.2
"Aug 24, 2022 00:00",0.99667,0.99992,0.99101,0.99678,+1.1
"Aug 23, 2022 00:00",0.99415,1.00181,0.99001,0.99674,+25.9
"Aug 22, 2022 00:00",1.00369,1.00465,0.99262,0.99421,-94.8
"Aug 19, 2022 00:00",1.00855,1.00954,1.00319,1.0039,-46.5
"Aug 18, 2022 00:00",1.01772,1.01931,1.00797,1.00867,-90.5
"Aug 17, 2022 00:00",1.01651,1.02031,1.01457,1.01774,+12.3
"Aug 16, 2022 00:00",1.0161,1.01948,1.01225,1.01705,+9.5
"Aug 15, 2022 00:00",1.02563,1.02679,1.01544,1.01589,-97.4
"Aug 12, 2022 00:00",1.03203,1.03272,1.02384,1.02562,-64.1
"Aug 11, 2022 00:00",1.0298,1.03646,1.02756,1.03198,+21.8
"Aug 10, 2022 00:00",1.02118,1.03684,1.02018,1.02973,+85.5
"Aug 09, 2022 00:00",1.01915,1.02477,1.01889,1.02133,+21.8
"Aug 08, 2022 00:00",1.01757,1.02216,1.01588,1.01932,+17.5
"Aug 05, 2022 00:00",1.02459,1.0252,1.01416,1.01779,-68.0
"Aug 04, 2022 00:00",1.01623,1.02534,1.01541,1.0245,+82.7
"Aug 03, 2022 00:00",1.01649,1.02099,1.01229,1.01688,+3.9
"Aug 02, 2022 00:00",1.02592,1.02939,1.01633,1.01659,-93.3
"Aug 01, 2022 00:00",1.02165,1.02752,1.02052,1.02599,+43.4
