Date,Open,High,Low,Close,Change (Pips)
"Sep 29, 2022 00:00",1.0883,1.1119,1.07621,1.11163,+233.3
"Sep 28, 2022 00:00",1.0731,1.09156,1.05391,1.08889,+157.9
"Sep 27, 2022 00:00",1.0684,1.08373,1.06487,1.07326,+48.6
"Sep 26, 2022 00:00",1.07966,1.09301,1.03528,1.06856,-111.0
"Sep 23, 2022 00:00",1.12535,1.12741,1.08394,1.08449,-408.6
"Sep 22, 2022 00:00",1.12642,1.1364,1.12119,1.12522,-12.0
"Sep 21, 2022 00:00",1.13691,1.13844,1.12351,1.12659,-103.2
"Sep 20, 2022 00:00",1.14178,1.14608,1.13572,1.1381,-36.8
"Sep 19, 2022 00:00",1.14146,1.14418,1.1355,1.14335,+18.9
"Sep 16, 2022 00:00",1.14627,1.14799,1.135,1.14227,-40.0
"Sep 15, 2022 00:00",1.15412,1.15485,1.14613,1.14657,-75.5
"Sep 14, 2022 00:00",1.14912,1.15895,1.14796,1.15397,+48.5
"Sep 13, 2022 00:00",1.16805,1.17381,1.14925,1.14926,-187.9
"Sep 12, 2022 00:00",1.16375,1.17103,1.16004,1.16824,+44.9
"Sep 09, 2022 00:00",1.15026,1.16482,1.14973,1.15869,+84.3
"Sep 08, 2022 00:00",1.15183,1.15602,1.146,1.15021,-16.2
"Sep 07, 2022 00:00",1.15176,1.15392,1.14048,1.1536,+18.4
"Sep 06, 2022 00:00",1.1514,1.16094,1.14936,1.15197,+5.7
"Sep 05, 2022 00:00",1.14768,1.15217,1.14433,1.15217,+44.9
"Sep 02, 2022 00:00",1.15428,1.15888,1.14961,1.15137,-29.1
"Sep 01, 2022 00:00",1.1619,1.16222,1.14986,1.15442,-74.8
"Aug 31, 2022 00:00",1.16465,1.16937,1.15989,1.16199,-26.6
"Aug 30, 2022 00:00",1.17069,1.17607,1.16214,1.1654,-52.9
"Aug 29, 2022 00:00",1.17246,1.17438,1.1648,1.17051,-19.5
"Aug 26, 2022 00:00",1.18326,1.19013,1.17334,1.17387,-93.9
"Aug 25, 2022 00:00",1.17929,1.18642,1.17835,1.1835,+42.1
"Aug 24, 2022 00:00",1.18284,1.18377,1.17556,1.17919,-36.5
"Aug 23, 2022 00:00",1.17614,1.18776,1.1717,1.18306,+69.2
"Aug 22, 2022 00:00",1.18247,1.18365,1.17419,1.17651,-59.6
"Aug 19, 2022 00:00",1.19246,1.19359,1.1792,1.18255,-99.1
"Aug 18, 2022 00:00",1.20468,1.20797,1.19229,1.19319,-114.9
"Aug 17, 2022 00:00",1.20881,1.21429,1.20276,1.20482,-39.9
"Aug 16, 2022 00:00",1.20521,1.21178,1.20074,1.20972,+45.1
"Aug 15, 2022 00:00",1.21339,1.21482,1.20498,1.20536,-80.3
"Aug 12, 2022 00:00",1.21972,1.22164,1.20999,1.21354,-61.8
"Aug 11, 2022 00:00",1.22166,1.22493,1.2182,1.22001,-16.5
"Aug 10, 2022 00:00",1.20747,1.22764,1.20646,1.22136,+138.9
"Aug 09, 2022 00:00",1.20721,1.21298,1.20629,1.20747,+2.6
"Aug 08, 2022 00:00",1.20678,1.21378,1.20474,1.20773,+9.5
"Aug 05, 2022 00:00",1.21553,1.21688,1.20029,1.20732,-82.1
"Aug 04, 2022 00:00",1.21368,1.22144,1.20651,1.21582,+21.4
"Aug 03, 2022 00:00",1.21637,1.22078,1.21006,1.2147,-16.7
"Aug 02, 2022 00:00",1.22457,1.22788,1.21578,1.21618,-83.9
"Aug 01, 2022 00:00",1.21672,1.22934,1.21565,1.22537,+86.5
"Jul 29, 2022 00:00",1.21669,1.22459,1.20631,1.21827,+15.8
"Jul 28, 2022 00:00",1.21504,1.2191,1.21028,1.2177,+26.6
"Jul 27, 2022 00:00",1.20208,1.21863,1.20184,1.21552,+134.4
