Date,Open,High,Low,Close,Change (Pips)
"Sep 29, 2022 00:00",0.5715,0.57326,0.56478,0.57262,+11.2
"Sep 28, 2022 00:00",0.5629,0.57327,0.55647,0.57296,+100.6
"Sep 27, 2022 00:00",0.56342,0.57215,0.56247,0.56339,-0.3
"Sep 26, 2022 00:00",0.5746,0.57549,0.56253,0.56332,-112.8
"Sep 23, 2022 00:00",0.58408,0.58559,0.573,0.57435,-97.3
"Sep 22, 2022 00:00",0.58531,0.58876,0.58039,0.58445,-8.6
"Sep 21, 2022 00:00",0.58906,0.59107,0.58415,0.58513,-39.3
"Sep 20, 2022 00:00",0.5959,0.59758,0.58853,0.58947,-64.3
"Sep 19, 2022 00:00",0.5987,0.60021,0.59294,0.5959,-28.0
"Sep 16, 2022 00:00",0.59639,0.59939,0.59399,0.59898,+25.9
"Sep 15, 2022 00:00",0.60011,0.60257,0.59636,0.59659,-35.2
"Sep 14, 2022 00:00",0.59896,0.60248,0.59763,0.60036,+14.0
"Sep 13, 2022 00:00",0.61339,0.61613,0.59863,0.59984,-135.5
"Sep 12, 2022 00:00",0.60821,0.61573,0.60784,0.61363,+54.2
"Sep 09, 2022 00:00",0.60488,0.6152,0.60448,0.61038,+55.0
"Sep 08, 2022 00:00",0.60727,0.60788,0.6031,0.60547,-18.0
"Sep 07, 2022 00:00",0.60381,0.60765,0.59965,0.60744,+36.3
"Sep 06, 2022 00:00",0.60896,0.61283,0.60349,0.60392,-50.4
"Sep 05, 2022 00:00",0.60812,0.61053,0.60775,0.60942,+13.0
"Sep 02, 2022 00:00",0.6079,0.61412,0.60506,0.61125,+33.5
"Sep 01, 2022 00:00",0.61166,0.61232,0.60604,0.60792,-37.4
"Aug 31, 2022 00:00",0.61257,0.61545,0.61105,0.612,-5.7
"Aug 30, 2022 00:00",0.61511,0.61942,0.61233,0.61288,-22.3
"Aug 29, 2022 00:00",0.61255,0.61677,0.61022,0.61549,+29.4
"Aug 26, 2022 00:00",0.62285,0.62323,0.61334,0.61352,-93.3
"Aug 25, 2022 00:00",0.61829,0.62509,0.61762,0.62244,+41.5
"Aug 24, 2022 00:00",0.62131,0.62187,0.61628,0.61882,-24.9
"Aug 23, 2022 00:00",0.61631,0.62442,0.61594,0.62129,+49.8
"Aug 22, 2022 00:00",0.61791,0.62148,0.61567,0.61684,-10.7
"Aug 19, 2022 00:00",0.62508,0.62569,0.61654,0.6174,-76.8
"Aug 18, 2022 00:00",0.628,0.63127,0.62463,0.62578,-22.2
"Aug 17, 2022 00:00",0.63375,0.63828,0.62578,0.62807,-56.8
"Aug 16, 2022 00:00",0.63579,0.63703,0.63165,0.63445,-13.4
"Aug 15, 2022 00:00",0.6447,0.64558,0.63556,0.6364,-83.0
"Aug 12, 2022 00:00",0.64325,0.64682,0.64224,0.64541,+21.6
"Aug 11, 2022 00:00",0.64008,0.64625,0.63839,0.64303,+29.5
"Aug 10, 2022 00:00",0.62841,0.64341,0.62749,0.64033,+119.2
"Aug 09, 2022 00:00",0.62775,0.63028,0.627,0.62865,+9.0
"Aug 08, 2022 00:00",0.62439,0.63042,0.62298,0.62851,+41.2
"Aug 05, 2022 00:00",0.62976,0.63094,0.62119,0.62419,-55.7
"Aug 04, 2022 00:00",0.62735,0.63153,0.62603,0.63008,+27.3
"Aug 03, 2022 00:00",0.62479,0.62808,0.62123,0.6273,+25.1
"Aug 02, 2022 00:00",0.63264,0.63429,0.62514,0.62536,-72.8
"Aug 01, 2022 00:00",0.62721,0.63526,0.62647,0.63325,+60.4
"Jul 29, 2022 00:00",0.62867,0.63289,0.62178,0.62907,+4.0
"Jul 28, 2022 00:00",0.62539,0.62978,0.62506,0.62913,+37.4
"Jul 27, 2022 00:00",0.6224,0.6278,0.61915,0.62641,+40.1
"Jul 26, 2022 00:00",0.62534,0.62804,0.62249,0.62302,-23.2
"Jul 25, 2022 00:00",0.62475,0.62793,0.6214,0.62625,+15.0
