Date,Open,High,Low,Close,Change (Pips)
"Sep 29, 2022 00:00",144.037,144.808,144.017,144.416,+37.9
"Sep 28, 2022 00:00",144.747,144.868,143.902,144.119,-62.8
"Sep 27, 2022 00:00",144.607,144.904,144.06,144.814,+20.7
"Sep 26, 2022 00:00",143.599,144.79,143.2,144.729,+113.0
"Sep 23, 2022 00:00",142.295,143.462,141.765,143.334,+103.9
"Sep 22, 2022 00:00",143.949,145.901,140.35,142.363,-158.6
"Sep 21, 2022 00:00",143.717,144.702,143.344,144.059,+34.2
"Sep 20, 2022 00:00",143.197,143.925,142.938,143.716,+51.9
"Sep 19, 2022 00:00",142.883,143.642,142.64,143.207,+32.4
"Sep 16, 2022 00:00",143.433,143.689,142.831,142.952,-48.1
"Sep 15, 2022 00:00",143.108,143.803,142.796,143.478,+37.0
"Sep 14, 2022 00:00",144.551,144.958,142.551,143.164,-138.7
"Sep 13, 2022 00:00",142.834,144.686,141.609,144.506,+167.2
"Sep 12, 2022 00:00",142.116,143.49,142.113,142.831,+71.5
"Sep 09, 2022 00:00",144.1,144.121,141.504,142.632,-146.8
"Sep 08, 2022 00:00",143.764,144.557,143.32,144.104,+34.0
"Sep 07, 2022 00:00",142.705,144.991,142.641,143.748,+104.3
"Sep 06, 2022 00:00",140.574,143.077,140.251,142.789,+221.5
"Sep 05, 2022 00:00",140.119,140.659,140.077,140.574,+45.5
"Sep 02, 2022 00:00",140.167,140.799,139.868,140.223,+5.6
"Sep 01, 2022 00:00",138.947,140.227,138.839,140.197,+125.0
"Aug 31, 2022 00:00",138.79,139.005,138.272,138.956,+16.6
"Aug 30, 2022 00:00",138.681,139.076,138.047,138.79,+10.9
"Aug 29, 2022 00:00",137.594,139.002,137.528,138.672,+107.8
"Aug 26, 2022 00:00",136.462,137.534,136.197,137.507,+104.5
"Aug 25, 2022 00:00",137.128,137.204,136.321,136.46,-66.8
"Aug 24, 2022 00:00",136.719,137.24,136.168,137.126,+40.7
"Aug 23, 2022 00:00",137.432,137.704,135.806,136.747,-68.5
"Aug 22, 2022 00:00",136.857,137.648,136.7,137.472,+61.5
"Aug 19, 2022 00:00",135.853,137.232,135.717,136.878,+102.5
"Aug 18, 2022 00:00",135.037,135.9,134.647,135.879,+84.2
"Aug 17, 2022 00:00",134.158,135.501,133.906,135.076,+91.8
"Aug 16, 2022 00:00",133.318,134.685,132.95,134.235,+91.7
"Aug 15, 2022 00:00",133.374,133.596,132.557,133.301,-7.3
"Aug 12, 2022 00:00",132.982,133.891,132.881,133.487,+50.5
"Aug 11, 2022 00:00",132.877,133.308,131.734,132.973,+9.6
"Aug 10, 2022 00:00",135.043,135.301,132.028,132.871,-217.2
"Aug 09, 2022 00:00",134.854,135.198,134.665,135.138,+28.4
"Aug 08, 2022 00:00",135.008,135.575,134.353,135.026,+1.8
"Aug 05, 2022 00:00",132.842,135.508,132.523,134.984,+214.2
"Aug 04, 2022 00:00",133.849,134.42,132.761,132.87,-97.9
"Aug 03, 2022 00:00",133.152,134.548,132.283,133.857,+70.5
"Aug 02, 2022 00:00",131.62,133.16,130.4,133.154,+153.4
"Aug 01, 2022 00:00",133.25,133.559,131.6,131.613,-163.7
"Jul 29, 2022 00:00",134.246,134.676,132.504,133.226,-102.0
"Jul 28, 2022 00:00",136.528,136.579,134.198,134.232,-229.6
"Jul 27, 2022 00:00",136.894,137.462,136.318,136.61,-28.4
"Jul 26, 2022 00:00",136.658,136.968,136.275,136.93,+27.2
"Jul 25, 2022 00:00",136.077,136.787,135.888,136.659,+58.2
"Jul 22, 2022 00:00",137.344,137.956,135.569,136.077,-126.7
"Jul 21, 2022 00:00",138.277,138.875,137.298,137.344,-93.3
"Jul 20, 2022 00:00",138.174,138.378,137.906,138.28,+10.6
"Jul 19, 2022 00:00",138.018,138.393,137.38,138.18,+16.2
"Jul 18, 2022 00:00",138.517,138.571,137.892,138.128,-38.9
"Jul 15, 2022 00:00",138.936,139.127,138.386,138.538,-39.8
"Jul 14, 2022 00:00",137.352,139.388,137.237,138.943,+159.1
"Jul 13, 2022 00:00",136.865,137.868,136.693,137.442,+57.7
"Jul 12, 2022 00:00",137.429,137.534,136.475,136.861,-56.8
"Jul 11, 2022 00:00",135.957,137.748,135.935,137.414,+145.7
"Jul 08, 2022 00:00",135.989,136.565,135.326,136.111,+12.2
"Jul 07, 2022 00:00",135.918,136.224,135.552,135.986,+6.8
"Jul 06, 2022 00:00",135.739,136.009,134.955,135.926,+18.7
"Jul 05, 2022 00:00",135.599,136.362,135.522,135.887,+28.8
