Date,Open,High,Low,Close,Change (Pips),Currency Pair
2022-09-29,93.927,94.037,93.125,93.857,-7.0,AUDJPY
2022-09-28,93.062,94.037,92.126,94.035,97.3,AUDJPY
2022-09-27,93.416,93.961,92.911,93.184,-23.2,AUDJPY
2022-09-26,93.582,94.026,93.148,93.414,-16.8,AUDJPY
2022-09-23,94.459,94.713,93.381,93.568,-89.1,AUDJPY
2022-09-22,95.406,96.408,93.562,94.585,-82.1,AUDJPY
2022-09-21,96.06,96.26,95.431,95.551,-50.9,AUDJPY
2022-09-20,96.292,96.541,95.888,96.103,-18.9,AUDJPY
2022-09-19,95.929,96.359,95.717,96.329,40.0,AUDJPY
2022-09-16,96.061,96.429,95.548,96.026,-3.5,AUDJPY
2022-09-15,96.578,97.13,96.094,96.144,-43.4,AUDJPY
2022-09-14,97.222,97.602,95.981,96.589,-63.3,AUDJPY
2022-09-13,98.377,98.636,97.196,97.274,-110.3,AUDJPY
2022-09-12,97.074,98.394,97.028,98.39,131.6,AUDJPY
2022-09-09,97.211,97.911,97.067,97.641,43.0,AUDJPY
2022-09-08,97.267,97.496,96.64,97.288,2.1,AUDJPY
2022-09-07,96.113,97.398,95.998,97.289,117.6,AUDJPY
2022-09-06,95.477,96.515,95.477,96.174,69.7,AUDJPY
2022-09-05,95.011,95.605,94.997,95.505,49.4,AUDJPY
2022-09-02,95.096,96.041,94.992,95.452,35.6,AUDJPY
2022-09-01,94.975,95.371,94.762,95.186,21.1,AUDJPY
2022-08-31,95.061,95.566,94.892,95.08,1.9,AUDJPY
2022-08-30,95.664,96.203,94.976,95.118,-54.6,AUDJPY
2022-08-29,94.684,95.927,94.648,95.71,102.6,AUDJPY
2022-08-26,95.247,95.769,94.621,94.749,-49.8,AUDJPY
2022-08-25,94.561,95.436,94.549,95.268,70.7,AUDJPY
2022-08-24,94.714,94.794,94.196,94.74,2.6,AUDJPY
2022-08-23,94.459,94.853,94.099,94.748,28.9,AUDJPY
2022-08-22,93.953,94.839,93.927,94.561,60.8,AUDJPY
2022-08-19,93.922,94.554,93.83,94.081,15.9,AUDJPY
2022-08-18,93.542,94.186,93.37,93.967,42.5,AUDJPY
2022-08-17,94.159,94.38,93.55,93.7,-45.9,AUDJPY
2022-08-16,93.562,94.47,93.074,94.275,71.3,AUDJPY
2022-08-15,94.89,95.085,93.063,93.607,-128.3,AUDJPY
2022-08-12,94.459,95.151,94.382,95.068,60.9,AUDJPY
2022-08-11,94.029,94.599,93.849,94.501,47.2,AUDJPY
2022-08-10,94.086,94.298,93.471,94.097,1.1,AUDJPY
2022-08-09,94.081,94.394,93.897,94.09,0.9,AUDJPY
2022-08-08,93.244,94.431,93.161,94.305,106.1,AUDJPY
2022-08-05,92.532,93.622,92.243,93.276,74.4,AUDJPY
2022-08-04,93.0,93.803,92.528,92.615,-38.5,AUDJPY
2022-08-03,92.121,93.218,91.718,93.022,90.1,AUDJPY
2022-08-02,92.32,92.594,90.522,92.118,-20.2,AUDJPY
2022-08-01,92.967,93.31,92.285,92.462,-50.5,AUDJPY
2022-07-29,93.705,94.268,92.862,93.154,-55.1,AUDJPY
2022-07-28,95.375,95.532,93.572,93.821,-155.4,AUDJPY
2022-07-27,94.975,95.688,94.749,95.538,56.3,AUDJPY
2022-07-26,94.998,95.265,94.567,94.988,-1.0,AUDJPY
2022-07-25,94.202,95.185,93.892,95.041,83.9,AUDJPY
2022-07-22,95.157,95.378,94.047,94.226,-93.1,AUDJPY
2022-07-21,95.043,95.6,94.95,95.257,21.4,AUDJPY
2022-07-20,95.273,95.757,95.019,95.242,-3.1,AUDJPY
2022-07-19,93.965,95.411,93.956,95.322,135.7,AUDJPY
2022-07-18,93.961,94.639,93.924,94.103,14.2,AUDJPY
2022-07-15,93.721,94.266,93.149,94.09,36.9,AUDJPY
2022-07-14,92.864,94.257,92.597,93.751,88.7,AUDJPY
2022-07-13,92.317,93.373,92.229,92.867,55.0,AUDJPY
2022-07-12,92.496,92.661,91.957,92.476,-2.0,AUDJPY
2022-07-11,93.045,93.686,92.303,92.556,-48.9,AUDJPY
2022-07-08,92.946,93.48,92.332,93.278,33.2,AUDJPY
2022-07-07,92.01,93.163,91.893,93.002,99.2,AUDJPY
2022-07-06,92.267,92.516,91.525,92.13,-13.7,AUDJPY
2022-07-05,93.04,93.982,91.736,92.36,-68.0,AUDJPY
2022-07-04,92.102,93.289,91.588,93.129,102.7,AUDJPY
2022-07-01,93.553,93.787,91.419,92.179,-137.4,AUDJPY
2022-06-30,93.934,94.282,93.336,93.701,-23.3,AUDJPY
2022-06-29,93.926,94.308,93.47,93.966,4.0,AUDJPY
2022-06-28,93.801,94.712,93.455,94.021,22.0,AUDJPY
2022-06-27,93.718,94.059,92.974,93.798,8.0,AUDJPY
2022-06-24,92.927,94.02,92.779,93.85,92.3,AUDJPY
2022-06-23,94.309,94.336,92.647,93.016,-129.3,AUDJPY
2022-06-22,95.177,95.291,93.587,94.35,-82.7,AUDJPY
2022-06-21,93.788,95.324,93.787,95.281,149.3,AUDJPY
2022-06-20,93.295,94.353,93.283,93.901,60.6,AUDJPY
2022-06-17,93.096,94.568,92.975,93.607,51.1,AUDJPY
2022-06-16,93.695,94.538,91.962,93.163,-53.2,AUDJPY
2022-06-15,92.896,93.932,92.886,93.718,82.2,AUDJPY
2022-06-14,92.996,93.894,92.425,93.091,9.5,AUDJPY
2022-06-13,94.483,94.985,92.616,93.089,-139.4,AUDJPY
2022-06-10,95.3,95.53,94.321,94.633,-66.7,AUDJPY
2022-06-09,96.482,96.771,95.289,95.354,-112.8,AUDJPY
2022-06-08,95.837,96.878,95.74,96.494,65.7,AUDJPY
2022-06-07,94.84,96.14,94.81,95.894,105.4,AUDJPY
2022-06-06,94.329,94.993,93.766,94.872,54.3,AUDJPY
2022-06-03,94.269,94.573,94.104,94.284,1.5,AUDJPY
2022-06-02,93.255,94.381,92.841,94.358,110.3,AUDJPY
2022-06-01,92.268,93.616,92.171,93.376,110.8,AUDJPY
2022-05-31,91.729,92.523,91.579,92.359,63.0,AUDJPY
2022-05-30,90.914,91.854,90.829,91.831,91.7,AUDJPY
2022-05-27,90.174,91.021,89.993,90.997,82.3,AUDJPY
2022-05-26,90.167,90.654,89.644,90.197,3.0,AUDJPY
2022-05-25,90.033,90.518,89.307,90.217,18.4,AUDJPY
2022-05-24,90.85,90.904,89.238,90.145,-70.5,AUDJPY
2022-05-23,90.118,91.044,89.948,90.899,78.1,AUDJPY
2022-05-20,89.994,90.692,89.365,90.14,14.6,AUDJPY
2022-05-19,89.126,90.53,88.992,90.074,94.8,AUDJPY
2022-05-18,90.888,91.168,89.087,89.155,-173.3,AUDJPY
2022-05-17,89.963,91.163,89.787,90.924,96.1,AUDJPY
2022-05-16,89.368,90.176,88.462,90.003,63.5,AUDJPY
2022-05-13,87.923,89.713,87.902,89.703,178.0,AUDJPY
2022-05-12,90.057,90.307,87.302,87.928,-212.9,AUDJPY
2022-05-11,90.427,91.764,89.776,90.141,-28.6,AUDJPY
2022-05-10,90.494,91.157,89.745,90.509,1.5,AUDJPY
2022-05-09,92.201,92.337,90.462,90.543,-165.8,AUDJPY
2022-05-06,92.492,92.991,91.988,92.305,-18.7,AUDJPY
2022-05-05,93.631,94.024,92.293,92.583,-104.8,AUDJPY
2022-05-04,92.268,93.83,92.263,93.658,139.0,AUDJPY
2022-05-03,91.739,92.938,91.696,92.328,58.9,AUDJPY
2022-05-02,91.721,92.151,91.499,91.8,7.9,AUDJPY
2022-04-29,92.793,93.466,91.586,91.686,-110.7,AUDJPY
2022-04-28,91.464,93.523,91.331,92.853,138.9,AUDJPY
2022-04-27,90.571,91.983,90.445,91.512,94.1,AUDJPY
2022-04-26,91.941,92.586,90.592,90.606,-133.5,AUDJPY
2022-04-25,93.078,93.291,91.11,91.999,-107.9,AUDJPY
2022-04-22,94.656,94.731,92.989,93.109,-154.7,AUDJPY
2022-04-21,95.059,95.583,94.403,94.616,-44.3,AUDJPY
2022-04-20,95.031,95.741,94.755,95.276,24.5,AUDJPY
2022-04-19,93.273,95.136,93.249,95.066,179.3,AUDJPY
2022-04-18,93.408,93.723,93.08,93.344,-6.4,AUDJPY
2022-04-15,93.317,93.777,93.309,93.393,7.6,AUDJPY
2022-04-14,93.532,93.686,93.123,93.365,-16.7,AUDJPY
2022-04-13,93.412,93.864,93.012,93.651,23.9,AUDJPY
2022-04-12,92.912,93.799,92.829,93.465,55.3,AUDJPY
2022-04-11,92.432,93.614,92.432,93.024,59.2,AUDJPY
2022-04-08,92.69,92.898,92.463,92.708,1.8,AUDJPY
2022-04-07,92.922,93.181,92.413,92.718,-20.4,AUDJPY
2022-04-06,93.618,94.133,92.72,92.959,-65.9,AUDJPY
2022-04-05,92.611,94.167,92.27,93.652,104.1,AUDJPY
2022-04-04,91.802,92.748,91.574,92.604,80.2,AUDJPY
2022-04-01,90.99,92.326,90.961,91.859,86.9,AUDJPY
2022-03-31,91.39,92.106,90.763,91.064,-32.6,AUDJPY
2022-03-30,92.176,92.646,91.136,91.486,-69.0,AUDJPY
2022-03-29,92.704,93.119,91.445,92.244,-46.0,AUDJPY
2022-03-28,91.517,94.316,91.517,92.815,129.8,AUDJPY
2022-03-25,91.897,92.009,91.057,91.752,-14.5,AUDJPY
2022-03-24,90.826,91.964,90.524,91.916,109.0,AUDJPY
2022-03-23,90.185,90.938,89.935,90.851,66.6,AUDJPY
2022-03-22,88.308,90.265,88.301,90.224,191.6,AUDJPY
2022-03-21,88.162,88.498,87.833,88.403,24.1,AUDJPY
2022-03-18,87.447,88.375,87.385,88.317,87.0,AUDJPY
2022-03-17,86.507,87.593,86.477,87.461,95.4,AUDJPY
2022-03-16,85.08,86.613,85.021,86.587,150.7,AUDJPY
2022-03-15,84.937,85.362,84.591,85.099,16.2,AUDJPY
2022-03-14,85.46,85.82,84.909,84.935,-52.5,AUDJPY
2022-03-11,85.414,85.89,85.264,85.554,14.0,AUDJPY
2022-03-10,84.774,85.538,84.577,85.44,66.6,AUDJPY
2022-03-09,84.015,84.982,84.014,84.828,81.3,AUDJPY
2022-03-08,84.306,84.836,83.807,84.088,-21.8,AUDJPY
2022-03-07,84.664,85.511,84.312,84.344,-32.0,AUDJPY
2022-03-04,84.616,85.14,84.157,84.688,7.2,AUDJPY
2022-03-03,84.277,84.936,84.123,84.601,32.4,AUDJPY
2022-03-02,83.292,84.441,83.257,84.29,99.8,AUDJPY
2022-03-01,83.486,83.859,83.099,83.341,-14.5,AUDJPY
2022-02-28,82.651,83.704,82.651,83.503,85.2,AUDJPY
2022-02-25,82.717,83.614,82.445,83.545,82.8,AUDJPY
2022-02-24,83.102,83.155,82.01,82.749,-35.3,AUDJPY
2022-02-23,83.025,83.831,83.025,83.18,15.5,AUDJPY
2022-02-22,82.481,83.186,82.12,83.054,57.3,AUDJPY
2022-02-21,82.467,83.053,82.341,82.473,0.6,AUDJPY
2022-02-18,82.556,83.328,82.421,82.562,0.6,AUDJPY
2022-02-17,83.042,83.342,82.34,82.591,-45.1,AUDJPY
2022-02-16,82.615,83.177,82.608,83.056,44.1,AUDJPY
2022-02-15,82.305,82.731,81.892,82.664,35.9,AUDJPY
2022-02-14,82.209,82.648,81.549,82.345,13.6,AUDJPY
2022-02-11,83.067,83.252,81.98,82.364,-70.3,AUDJPY
2022-02-10,82.807,83.991,82.731,83.143,33.6,AUDJPY
2022-02-09,82.543,83.051,82.46,82.952,40.9,AUDJPY
2022-02-08,81.983,82.574,81.716,82.571,58.8,AUDJPY
2022-02-07,81.523,82.048,81.408,82.011,48.8,AUDJPY
2022-02-04,82.022,82.218,81.296,81.521,-50.1,AUDJPY
2022-02-03,81.601,82.281,81.382,82.085,48.4,AUDJPY
2022-02-02,81.698,81.994,81.385,81.662,-3.6,AUDJPY
2022-02-01,81.28,81.784,80.902,81.748,46.8,AUDJPY
2022-01-31,80.56,81.626,80.547,81.379,81.9,AUDJPY
2022-01-28,81.11,81.341,80.371,80.618,-49.2,AUDJPY
2022-01-27,81.561,81.76,80.917,81.147,-41.4,AUDJPY
2022-01-26,81.364,82.15,81.22,81.602,23.8,AUDJPY
2022-01-25,81.245,81.793,81.04,81.431,18.6,AUDJPY
2022-01-24,81.508,81.83,80.695,81.429,-7.9,AUDJPY
2022-01-21,82.393,82.492,81.496,81.576,-81.7,AUDJPY
2022-01-20,82.418,82.971,82.391,82.46,4.2,AUDJPY
2022-01-19,82.304,82.796,82.081,82.442,13.8,AUDJPY
2022-01-18,82.625,82.959,82.158,82.317,-30.8,AUDJPY
2022-01-17,82.286,82.763,82.286,82.639,35.3,AUDJPY
2022-01-14,83.112,83.169,82.093,82.417,-69.5,AUDJPY
2022-01-13,83.483,83.75,83.004,83.112,-37.1,AUDJPY
2022-01-12,83.126,83.676,83.031,83.475,34.9,AUDJPY
2022-01-11,82.447,83.22,82.447,83.124,67.7,AUDJPY
2022-01-10,82.863,83.361,82.33,82.637,-22.6,AUDJPY
2022-01-07,82.936,83.22,82.629,82.981,4.5,AUDJPY
2022-01-06,83.77,83.887,82.687,82.98,-79.0,AUDJPY
2022-01-05,83.958,84.297,83.761,83.846,-11.2,AUDJPY
2022-01-04,82.862,84.174,82.813,84.068,120.6,AUDJPY
2022-01-03,83.471,83.865,82.827,82.927,-54.4,AUDJPY
2021-12-31,83.439,83.75,83.327,83.692,25.3,AUDJPY
2021-12-30,83.283,83.76,83.241,83.409,12.6,AUDJPY
2021-12-29,82.872,83.499,82.795,83.326,45.4,AUDJPY
2021-12-28,83.058,83.439,82.874,82.977,-8.1,AUDJPY
2021-12-27,82.55,83.227,82.526,83.157,60.7,AUDJPY
2021-12-24,82.769,82.872,82.525,82.561,-20.8,AUDJPY
2021-12-23,82.248,82.987,82.11,82.857,60.9,AUDJPY
2021-12-22,81.597,82.471,81.259,82.305,70.8,AUDJPY
2021-12-21,80.717,81.666,80.621,81.598,88.1,AUDJPY
2021-12-20,80.932,81.094,80.273,80.786,-14.6,AUDJPY
2021-12-17,81.585,81.751,80.94,81.031,-55.4,AUDJPY
2021-12-16,81.65,82.438,81.423,81.678,2.8,AUDJPY
2021-12-15,80.763,81.861,80.661,81.808,104.5,AUDJPY
2021-12-14,80.763,81.151,80.479,80.817,5.4,AUDJPY
2021-12-13,81.027,81.49,80.703,81.024,-0.3,AUDJPY
2021-12-10,81.088,81.555,80.827,81.317,22.9,AUDJPY
2021-12-09,81.428,81.666,80.918,81.079,-34.9,AUDJPY
2021-12-08,80.817,81.719,80.676,81.525,70.8,AUDJPY
2021-12-07,79.964,80.929,79.856,80.85,88.6,AUDJPY
2021-12-06,78.965,80.055,78.932,80.027,106.2,AUDJPY
2021-12-03,80.147,80.336,78.788,78.975,-117.2,AUDJPY
2021-12-02,80.057,80.562,79.914,80.281,22.4,AUDJPY
2021-12-01,80.616,81.478,80.036,80.122,-49.4,AUDJPY
2021-11-30,81.058,81.391,80.113,80.652,-40.6,AUDJPY
2021-11-29,81.033,81.408,80.617,81.081,4.8,AUDJPY
2021-11-26,82.851,83.008,80.431,80.626,-222.5,AUDJPY
2021-11-25,83.007,83.197,82.794,82.89,-11.7,AUDJPY
2021-11-24,83.188,83.237,82.741,83.02,-16.8,AUDJPY
2021-11-23,82.971,83.249,82.652,83.195,22.4,AUDJPY
2021-11-22,82.369,83.211,82.33,82.979,61.0,AUDJPY
2021-11-19,83.109,83.358,82.158,82.489,-62.0,AUDJPY
2021-11-18,82.871,83.257,82.682,83.14,26.9,AUDJPY
2021-11-17,83.803,83.912,82.819,82.9,-90.3,AUDJPY
